STT,Kho,Ngày,Số đơn trả,% FD,,,Thời gian,Tổng đơn trả,Trả hàng tổng,Trả hàng SHOPEE Bulky,Trả hàng TTS Bulky,Trả hàng SME,Trả hàng B2B,Trả hàng Ecommerce
86,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-05-01 - Thứ 6,3,"7,89%",,,,,,,,,,
87,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-05-01 - Thứ 6,12,"4,10%",,,,,,,,,,
88,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-05-01 - Thứ 6,5,"4,07%",,,,,,,,,,
89,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-05-01 - Thứ 6,0,"0,00%",,,,,,,,,,
90,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-05-01 - Thứ 6,1,"100,00%",,,,,,,,,,
91,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-05-01 - Thứ 6,1,"50,00%",,,,,,,,,,
92,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-05-01 - Thứ 6,4,"14,29%",,,,,,,,,,
93,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-05-01 - Thứ 6,1,"4,00%",,,,,,,,,,
94,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-05-01 - Thứ 6,6,"4,41%",,,,,,,,,,
95,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-05-01 - Thứ 6,0,"0,00%",,,,,,,,,,
96,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-05-01 - Thứ 6,1,"100,00%",,,,,,,,,,
97,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-05-01 - Thứ 6,11,"8,27%",,,,,,,,,,
98,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-05-01 - Thứ 6,2,"2,74%",,,,,,,,,,
99,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-05-01 - Thứ 6,3,"10,71%",,,,,,,,,,
100,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-30 - Thứ 5,5,"3,57%",,,,,,,,,,
101,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-30 - Thứ 5,2,"2,94%",,,,,,,,,,
102,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-30 - Thứ 5,3,"5,17%",,,,,,,,,,
103,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-30 - Thứ 5,2,"40,00%",,,,,,,,,,
104,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-30 - Thứ 5,3,"2,04%",,,,,,,,,,
105,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-30 - Thứ 5,5,"5,05%",,,,,,,,,,
106,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-30 - Thứ 5,4,"4,49%",,,,,,,,,,
107,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-30 - Thứ 5,11,"9,82%",,,,,,,,,,
108,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-30 - Thứ 5,8,"8,79%",,,,,,,,,,
109,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-30 - Thứ 5,1,"3,57%",,,,,,,,,,
110,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-30 - Thứ 5,1,"1,56%",,,,,,,,,,
111,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-30 - Thứ 5,5,"3,85%",,,,,,,,,,
112,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-30 - Thứ 5,0,"0,00%",,,,,,,,,,
113,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-30 - Thứ 5,2,"100,00%",,,,,,,,,,
114,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-30 - Thứ 5,12,"5,63%",,,,,,,,,,
115,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-30 - Thứ 5,2,"3,23%",,,,,,,,,,
116,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-30 - Thứ 5,3,"7,50%",,,,,,,,,,
117,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-30 - Thứ 5,0,"0,00%",,,,,,,,,,
118,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-30 - Thứ 5,2,"2,02%",,,,,,,,,,
119,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-30 - Thứ 5,1,"2,22%",,,,,,,,,,
120,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-30 - Thứ 5,5,"2,07%",,,,,,,,,,
121,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-30 - Thứ 5,15,"4,98%",,,,,,,,,,
122,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-30 - Thứ 5,10,"6,94%",,,,,,,,,,
123,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-30 - Thứ 5,1,"2,86%",,,,,,,,,,
124,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-29 - Thứ 4,9,"4,31%",,,,,,,,,,
125,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-29 - Thứ 4,3,"1,37%",,,,,,,,,,
126,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-29 - Thứ 4,2,"2,67%",,,,,,,,,,
127,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-29 - Thứ 4,3,"2,59%",,,,,,,,,,
128,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-29 - Thứ 4,3,"4,35%",,,,,,,,,,
129,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-29 - Thứ 4,4,"5,80%",,,,,,,,,,
130,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-29 - Thứ 4,3,"2,68%",,,,,,,,,,
131,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-29 - Thứ 4,1,"2,33%",,,,,,,,,,
132,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-29 - Thứ 4,1,"1,37%",,,,,,,,,,
133,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-29 - Thứ 4,4,"3,17%",,,,,,,,,,
134,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-29 - Thứ 4,5,"11,63%",,,,,,,,,,
135,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-29 - Thứ 4,2,"4,08%",,,,,,,,,,
136,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-29 - Thứ 4,13,"3,66%",,,,,,,,,,
137,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-29 - Thứ 4,4,"3,15%",,,,,,,,,,
138,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-29 - Thứ 4,16,"7,05%",,,,,,,,,,
139,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-29 - Thứ 4,3,"6,12%",,,,,,,,,,
140,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-29 - Thứ 4,5,"2,27%",,,,,,,,,,
141,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-29 - Thứ 4,20,"5,35%",,,,,,,,,,
142,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-29 - Thứ 4,3,"2,16%",,,,,,,,,,
143,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-29 - Thứ 4,7,"3,87%",,,,,,,,,,
144,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-29 - Thứ 4,3,"3,33%",,,,,,,,,,
145,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-29 - Thứ 4,4,"5,06%",,,,,,,,,,
146,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-29 - Thứ 4,2,"1,44%",,,,,,,,,,
147,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-29 - Thứ 4,6,"9,68%",,,,,,,,,,
148,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-29 - Thứ 4,11,"4,60%",,,,,,,,,,
149,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-28 - Thứ 3,3,"2,73%",,,,,,,,,,
150,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-28 - Thứ 3,1,"2,44%",,,,,,,,,,
151,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-28 - Thứ 3,4,"11,11%",,,,,,,,,,
152,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-28 - Thứ 3,7,"3,24%",,,,,,,,,,
153,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-28 - Thứ 3,6,"3,85%",,,,,,,,,,
154,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-28 - Thứ 3,5,"5,62%",,,,,,,,,,
155,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-28 - Thứ 3,6,"6,12%",,,,,,,,,,
156,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-28 - Thứ 3,4,"3,96%",,,,,,,,,,
157,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-28 - Thứ 3,6,"2,58%",,,,,,,,,,
158,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-28 - Thứ 3,2,"5,41%",,,,,,,,,,
159,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-28 - Thứ 3,7,"3,70%",,,,,,,,,,
160,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-28 - Thứ 3,5,"7,69%",,,,,,,,,,
161,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-28 - Thứ 3,13,"4,96%",,,,,,,,,,
162,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-28 - Thứ 3,1,"1,28%",,,,,,,,,,
163,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-28 - Thứ 3,6,"3,75%",,,,,,,,,,
164,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-28 - Thứ 3,5,"7,04%",,,,,,,,,,
165,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-28 - Thứ 3,17,"6,88%",,,,,,,,,,
166,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-28 - Thứ 3,15,"4,44%",,,,,,,,,,
167,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-28 - Thứ 3,4,"5,06%",,,,,,,,,,
168,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-28 - Thứ 3,0,"0,00%",,,,,,,,,,
169,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-28 - Thứ 3,8,"1,55%",,,,,,,,,,
170,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-28 - Thứ 3,5,"3,68%",,,,,,,,,,
171,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-28 - Thứ 3,2,"2,82%",,,,,,,,,,
172,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-28 - Thứ 3,4,"8,89%",,,,,,,,,,
173,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-28 - Thứ 3,1,"3,33%",,,,,,,,,,
174,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-27 - Thứ 2,2,"3,51%",,,,,,,,,,
175,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-27 - Thứ 2,8,"3,27%",,,,,,,,,,
176,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-27 - Thứ 2,5,"4,76%",,,,,,,,,,
177,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-27 - Thứ 2,9,"4,15%",,,,,,,,,,
178,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-27 - Thứ 2,3,"5,00%",,,,,,,,,,
179,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-27 - Thứ 2,7,"8,86%",,,,,,,,,,
180,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-27 - Thứ 2,3,"3,30%",,,,,,,,,,
181,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-27 - Thứ 2,6,"2,15%",,,,,,,,,,
182,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-27 - Thứ 2,8,"3,86%",,,,,,,,,,
183,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-27 - Thứ 2,16,"3,66%",,,,,,,,,,
184,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-27 - Thứ 2,5,"4,07%",,,,,,,,,,
185,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-27 - Thứ 2,2,"2,06%",,,,,,,,,,
186,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-27 - Thứ 2,2,"1,68%",,,,,,,,,,
187,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-27 - Thứ 2,2,"2,17%",,,,,,,,,,
