STT,Kho,Ngày,Số đơn trả,% FD,,,Thời gian,Tổng đơn trả,Trả hàng tổng,Trả hàng SHOPEE Bulky,Trả hàng TTS Bulky,Trả hàng SME,Trả hàng B2B,Trả hàng Ecommerce
400,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-18 - Thứ 7,8,"2,97%",,,,,,,,,,
401,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-18 - Thứ 7,11,"7,14%",,,,,,,,,,
402,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-18 - Thứ 7,8,"7,21%",,,,,,,,,,
403,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-18 - Thứ 7,5,"4,81%",,,,,,,,,,
404,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-18 - Thứ 7,4,"1,94%",,,,,,,,,,
405,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-18 - Thứ 7,9,"4,13%",,,,,,,,,,
406,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-18 - Thứ 7,13,"6,77%",,,,,,,,,,
407,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-18 - Thứ 7,15,"3,11%",,,,,,,,,,
408,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-18 - Thứ 7,15,"7,50%",,,,,,,,,,
409,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-18 - Thứ 7,12,"3,68%",,,,,,,,,,
410,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-18 - Thứ 7,6,"9,84%",,,,,,,,,,
411,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-18 - Thứ 7,12,"2,99%",,,,,,,,,,
412,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-18 - Thứ 7,6,"5,94%",,,,,,,,,,
413,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-18 - Thứ 7,11,"2,10%",,,,,,,,,,
414,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-18 - Thứ 7,5,"2,62%",,,,,,,,,,
415,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-18 - Thứ 7,10,"2,38%",,,,,,,,,,
416,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-18 - Thứ 7,12,"7,69%",,,,,,,,,,
417,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-18 - Thứ 7,5,"3,33%",,,,,,,,,,
418,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-18 - Thứ 7,9,"10,34%",,,,,,,,,,
419,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-18 - Thứ 7,2,"2,60%",,,,,,,,,,
420,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-18 - Thứ 7,1,"1,20%",,,,,,,,,,
421,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-18 - Thứ 7,6,"2,16%",,,,,,,,,,
422,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-18 - Thứ 7,6,"4,41%",,,,,,,,,,
423,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-18 - Thứ 7,6,"4,58%",,,,,,,,,,
424,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-17 - Thứ 6,18,"6,47%",,,,,,,,,,
425,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-17 - Thứ 6,3,"2,13%",,,,,,,,,,
426,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-17 - Thứ 6,2,"3,28%",,,,,,,,,,
427,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-17 - Thứ 6,5,"2,67%",,,,,,,,,,
428,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-17 - Thứ 6,12,"6,42%",,,,,,,,,,
429,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-17 - Thứ 6,2,"1,77%",,,,,,,,,,
430,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-17 - Thứ 6,1,"1,82%",,,,,,,,,,
431,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-17 - Thứ 6,25,"4,31%",,,,,,,,,,
432,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-17 - Thứ 6,8,"2,82%",,,,,,,,,,
433,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-17 - Thứ 6,3,"2,36%",,,,,,,,,,
434,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-17 - Thứ 6,4,"2,48%",,,,,,,,,,
435,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-17 - Thứ 6,21,"7,55%",,,,,,,,,,
436,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-17 - Thứ 6,5,"8,33%",,,,,,,,,,
437,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-17 - Thứ 6,12,"2,65%",,,,,,,,,,
438,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-17 - Thứ 6,3,"2,97%",,,,,,,,,,
439,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-17 - Thứ 6,14,"2,83%",,,,,,,,,,
440,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-17 - Thứ 6,4,"3,67%",,,,,,,,,,
441,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-17 - Thứ 6,2,"2,53%",,,,,,,,,,
442,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-17 - Thứ 6,9,"3,07%",,,,,,,,,,
443,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-17 - Thứ 6,10,"5,26%",,,,,,,,,,
444,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-17 - Thứ 6,10,"4,33%",,,,,,,,,,
445,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-17 - Thứ 6,8,"7,77%",,,,,,,,,,
446,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-17 - Thứ 6,2,"1,74%",,,,,,,,,,
447,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-17 - Thứ 6,19,"7,69%",,,,,,,,,,
448,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-17 - Thứ 6,10,"10,31%",,,,,,,,,,
449,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-16 - Thứ 5,7,"11,67%",,,,,,,,,,
450,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-16 - Thứ 5,5,"5,05%",,,,,,,,,,
451,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-16 - Thứ 5,2,"2,99%",,,,,,,,,,
452,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-16 - Thứ 5,29,"4,97%",,,,,,,,,,
453,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-16 - Thứ 5,2,"1,09%",,,,,,,,,,
454,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-16 - Thứ 5,7,"3,95%",,,,,,,,,,
455,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-16 - Thứ 5,12,"5,69%",,,,,,,,,,
456,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-16 - Thứ 5,3,"5,17%",,,,,,,,,,
457,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-16 - Thứ 5,0,"0,00%",,,,,,,,,,
458,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-16 - Thứ 5,12,"3,36%",,,,,,,,,,
459,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-16 - Thứ 5,22,"4,37%",,,,,,,,,,
460,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-16 - Thứ 5,9,"4,19%",,,,,,,,,,
461,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-16 - Thứ 5,6,"4,11%",,,,,,,,,,
462,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-16 - Thứ 5,1,"1,39%",,,,,,,,,,
463,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-16 - Thứ 5,3,"3,80%",,,,,,,,,,
464,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-16 - Thứ 5,11,"5,29%",,,,,,,,,,
465,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-16 - Thứ 5,4,"4,65%",,,,,,,,,,
466,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-16 - Thứ 5,4,"3,57%",,,,,,,,,,
467,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-16 - Thứ 5,24,"9,80%",,,,,,,,,,
468,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-16 - Thứ 5,11,"4,49%",,,,,,,,,,
469,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-16 - Thứ 5,2,"2,50%",,,,,,,,,,
470,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-16 - Thứ 5,6,"2,18%",,,,,,,,,,
471,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-16 - Thứ 5,6,"7,06%",,,,,,,,,,
472,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-16 - Thứ 5,7,"7,07%",,,,,,,,,,
473,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-16 - Thứ 5,7,"5,47%",,,,,,,,,,
474,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-15 - Thứ 4,5,"5,75%",,,,,,,,,,
475,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-15 - Thứ 4,5,"4,27%",,,,,,,,,,
476,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-15 - Thứ 4,15,"5,73%",,,,,,,,,,
477,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-15 - Thứ 4,12,"3,53%",,,,,,,,,,
478,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-15 - Thứ 4,5,"1,89%",,,,,,,,,,
479,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-15 - Thứ 4,19,"7,14%",,,,,,,,,,
480,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-15 - Thứ 4,13,"4,29%",,,,,,,,,,
481,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-15 - Thứ 4,5,"7,46%",,,,,,,,,,
482,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-15 - Thứ 4,5,"6,58%",,,,,,,,,,
483,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-15 - Thứ 4,4,"2,17%",,,,,,,,,,
484,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-15 - Thứ 4,3,"2,46%",,,,,,,,,,
485,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-15 - Thứ 4,3,"3,70%",,,,,,,,,,
486,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-15 - Thứ 4,4,"2,90%",,,,,,,,,,
487,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-15 - Thứ 4,2,"6,90%",,,,,,,,,,
488,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-15 - Thứ 4,7,"3,54%",,,,,,,,,,
489,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-15 - Thứ 4,18,"4,65%",,,,,,,,,,
490,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-15 - Thứ 4,5,"5,56%",,,,,,,,,,
491,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-15 - Thứ 4,8,"7,92%",,,,,,,,,,
492,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-15 - Thứ 4,15,"5,81%",,,,,,,,,,
493,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-15 - Thứ 4,2,"3,57%",,,,,,,,,,
494,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-15 - Thứ 4,0,"0,00%",,,,,,,,,,
495,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-15 - Thứ 4,0,"0,00%",,,,,,,,,,
496,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-15 - Thứ 4,8,"3,00%",,,,,,,,,,
497,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-15 - Thứ 4,2,"2,30%",,,,,,,,,,
498,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-15 - Thứ 4,4,"2,34%",,,,,,,,,,
499,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-14 - Thứ 3,1,"1,54%",,,,,,,,,,
500,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-14 - Thứ 3,10,"6,62%",,,,,,,,,,
501,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-14 - Thứ 3,7,"6,60%",,,,,,,,,,
502,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-14 - Thứ 3,3,"3,13%",,,,,,,,,,
503,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-14 - Thứ 3,6,"8,70%",,,,,,,,,,
504,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-14 - Thứ 3,20,"5,03%",,,,,,,,,,
505,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-14 - Thứ 3,5,"4,24%",,,,,,,,,,
506,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-14 - Thứ 3,4,"4,88%",,,,,,,,,,
507,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-14 - Thứ 3,1,"4,17%",,,,,,,,,,
508,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-14 - Thứ 3,1,"2,94%",,,,,,,,,,
509,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-14 - Thứ 3,5,"3,76%",,,,,,,,,,
510,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-14 - Thứ 3,6,"5,94%",,,,,,,,,,
511,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-14 - Thứ 3,15,"5,30%",,,,,,,,,,
512,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-14 - Thứ 3,3,"2,29%",,,,,,,,,,
513,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-14 - Thứ 3,14,"4,38%",,,,,,,,,,
514,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-14 - Thứ 3,5,"3,09%",,,,,,,,,,
515,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-14 - Thứ 3,4,"4,60%",,,,,,,,,,
516,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-14 - Thứ 3,9,"3,11%",,,,,,,,,,
517,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-14 - Thứ 3,8,"5,48%",,,,,,,,,,
518,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-14 - Thứ 3,2,"1,45%",,,,,,,,,,
519,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-14 - Thứ 3,1,"3,70%",,,,,,,,,,
520,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-14 - Thứ 3,3,"4,69%",,,,,,,,,,
521,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-14 - Thứ 3,4,"8,16%",,,,,,,,,,
522,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-14 - Thứ 3,9,"2,68%",,,,,,,,,,
523,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-14 - Thứ 3,15,"4,90%",,,,,,,,,,
524,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-13 - Thứ 2,7,"7,29%",,,,,,,,,,
525,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-13 - Thứ 2,2,"1,75%",,,,,,,,,,
526,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-13 - Thứ 2,1,"2,78%",,,,,,,,,,
527,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-13 - Thứ 2,7,"5,43%",,,,,,,,,,
528,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-13 - Thứ 2,6,"2,35%",,,,,,,,,,
529,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-13 - Thứ 2,2,"4,00%",,,,,,,,,,
530,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-13 - Thứ 2,5,"8,20%",,,,,,,,,,
531,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-13 - Thứ 2,13,"3,81%",,,,,,,,,,
532,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-13 - Thứ 2,5,"2,56%",,,,,,,,,,
533,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-13 - Thứ 2,4,"1,95%",,,,,,,,,,
534,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-13 - Thứ 2,2,"2,30%",,,,,,,,,,
535,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-13 - Thứ 2,9,"3,31%",,,,,,,,,,
536,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-13 - Thứ 2,13,"3,64%",,,,,,,,,,
537,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-13 - Thứ 2,0,"0,00%",,,,,,,,,,
538,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-13 - Thứ 2,18,"4,14%",,,,,,,,,,
539,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-13 - Thứ 2,6,"4,32%",,,,,,,,,,
540,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-13 - Thứ 2,2,"1,22%",,,,,,,,,,
541,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-13 - Thứ 2,5,"3,79%",,,,,,,,,,
542,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-13 - Thứ 2,12,"4,10%",,,,,,,,,,
543,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-13 - Thứ 2,3,"4,00%",,,,,,,,,,
544,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-13 - Thứ 2,22,"3,72%",,,,,,,,,,
545,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-13 - Thứ 2,3,"2,19%",,,,,,,,,,
546,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-13 - Thứ 2,9,"6,12%",,,,,,,,,,
547,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-13 - Thứ 2,6,"6,00%",,,,,,,,,,
548,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-13 - Thứ 2,18,"6,36%",,,,,,,,,,
549,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-12 - CN,6,"2,23%",,,,,,,,,,
550,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-12 - CN,10,"6,80%",,,,,,,,,,
551,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-12 - CN,5,"6,41%",,,,,,,,,,
552,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-12 - CN,1,"1,10%",,,,,,,,,,
553,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-12 - CN,5,"4,85%",,,,,,,,,,
554,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-12 - CN,17,"6,49%",,,,,,,,,,
555,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-12 - CN,3,"2,86%",,,,,,,,,,
556,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-12 - CN,4,"3,28%",,,,,,,,,,
557,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-12 - CN,20,"5,87%",,,,,,,,,,
558,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-12 - CN,1,"2,44%",,,,,,,,,,
559,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-12 - CN,11,"2,08%",,,,,,,,,,
560,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-12 - CN,16,"4,98%",,,,,,,,,,
561,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-12 - CN,16,"6,06%",,,,,,,,,,
562,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-12 - CN,2,"2,63%",,,,,,,,,,
563,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-12 - CN,2,"2,08%",,,,,,,,,,
564,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-12 - CN,7,"3,27%",,,,,,,,,,
565,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-12 - CN,1,"1,47%",,,,,,,,,,
566,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-12 - CN,17,"2,70%",,,,,,,,,,
567,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-12 - CN,8,"2,27%",,,,,,,,,,
568,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-12 - CN,6,"3,85%",,,,,,,,,,
569,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-12 - CN,6,"7,23%",,,,,,,,,,
570,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-12 - CN,3,"4,84%",,,,,,,,,,
571,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-12 - CN,11,"5,12%",,,,,,,,,,
572,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-12 - CN,9,"9,47%",,,,,,,,,,
573,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-12 - CN,13,"9,70%",,,,,,,,,,
574,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-11 - Thứ 7,14,"4,70%",,,,,,,,,,
575,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-11 - Thứ 7,1,"0,47%",,,,,,,,,,
576,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-11 - Thứ 7,10,"8,47%",,,,,,,,,,
577,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-11 - Thứ 7,11,"11,46%",,,,,,,,,,
578,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-11 - Thứ 7,3,"6,12%",,,,,,,,,,
579,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-11 - Thứ 7,12,"3,69%",,,,,,,,,,
580,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-11 - Thứ 7,2,"2,00%",,,,,,,,,,
581,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-11 - Thứ 7,2,"3,92%",,,,,,,,,,
582,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-11 - Thứ 7,3,"2,26%",,,,,,,,,,
583,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-11 - Thứ 7,12,"5,94%",,,,,,,,,,
584,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-11 - Thứ 7,3,"3,85%",,,,,,,,,,
585,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-11 - Thứ 7,3,"1,27%",,,,,,,,,,
586,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-11 - Thứ 7,26,"4,73%",,,,,,,,,,
587,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-11 - Thứ 7,3,"1,97%",,,,,,,,,,
588,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-11 - Thứ 7,16,"6,43%",,,,,,,,,,
589,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-11 - Thứ 7,13,"4,23%",,,,,,,,,,
590,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-11 - Thứ 7,4,"7,14%",,,,,,,,,,
591,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-11 - Thứ 7,4,"4,94%",,,,,,,,,,
592,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-11 - Thứ 7,19,"5,26%",,,,,,,,,,
593,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-11 - Thứ 7,21,"5,45%",,,,,,,,,,
594,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-11 - Thứ 7,7,"6,54%",,,,,,,,,,
595,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-11 - Thứ 7,5,"9,43%",,,,,,,,,,
596,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-11 - Thứ 7,2,"2,99%",,,,,,,,,,
597,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-11 - Thứ 7,2,"2,13%",,,,,,,,,,
598,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-11 - Thứ 7,6,"4,72%",,,,,,,,,,
599,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-10 - Thứ 6,12,"5,48%",,,,,,,,,,
600,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-10 - Thứ 6,21,"4,68%",,,,,,,,,,
601,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-10 - Thứ 6,11,"3,38%",,,,,,,,,,
602,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-10 - Thứ 6,2,"2,50%",,,,,,,,,,
603,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-10 - Thứ 6,4,"4,17%",,,,,,,,,,
604,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-10 - Thứ 6,5,"4,46%",,,,,,,,,,
605,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-10 - Thứ 6,13,"11,71%",,,,,,,,,,
606,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-10 - Thứ 6,17,"4,63%",,,,,,,,,,
607,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-10 - Thứ 6,9,"2,95%",,,,,,,,,,
608,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-10 - Thứ 6,4,"5,33%",,,,,,,,,,
609,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-10 - Thứ 6,7,"6,80%",,,,,,,,,,
610,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-10 - Thứ 6,1,"1,33%",,,,,,,,,,
